Interpret	Lied	Tanz aus Radio	Tänze aus lokaler Datenbank	Kandidaten	Sicherheit	Abspielungen	Zuletzt gespielt	Abgleich
George Strait	Am I blue				keine	1	2026-07-14T06:30:57.000Z	keine lokale Zuordnung gefunden
George Strait	Check yes or no				keine	1	2026-07-13T19:38:29.000Z	keine lokale Zuordnung gefunden
George Strait	Easy come, easy go				keine	1	2026-07-15T09:53:33.000Z	keine lokale Zuordnung gefunden
George Strait	Go on				keine	1	2026-07-14T17:16:17.000Z	keine lokale Zuordnung gefunden
George Strait	I can still make Cheyenne				keine	2	2026-07-14T20:21:18.000Z	keine lokale Zuordnung gefunden
George Strait	I hate everything				keine	1	2026-07-15T01:28:15.000Z	keine lokale Zuordnung gefunden
George Strait	If you ain't lovin' (You ain't livin')				keine	1	2026-07-14T08:50:55.000Z	keine lokale Zuordnung gefunden
George Strait	Love without end, Amen				keine	1	2026-07-15T03:50:17.000Z	keine lokale Zuordnung gefunden
George Strait	Run				keine	1	2026-07-15T13:39:22.000Z	keine lokale Zuordnung gefunden
George Strait	The best day				keine	1	2026-07-14T11:51:43.000Z	keine lokale Zuordnung gefunden
George Strait	Today my world slipped away				keine	1	2026-07-14T03:21:55.000Z	keine lokale Zuordnung gefunden
George Strait	True				keine	1	2026-07-15T11:16:38.000Z	keine lokale Zuordnung gefunden
George Strait	What's going on in your world				keine	1	2026-07-14T15:04:05.000Z	keine lokale Zuordnung gefunden
George Strait	Write this down				keine	1	2026-07-15T16:30:16.000Z	keine lokale Zuordnung gefunden
Gerry Rafferty	Baker Street				keine	1	2026-07-15T14:48:05.000Z	keine lokale Zuordnung gefunden
Glen Campbell	Rhinestone Cowboy				keine	1	2026-07-14T20:10:46.000Z	keine lokale Zuordnung gefunden
Glen Campbell	Southern Nights				keine	1	2026-07-15T15:45:22.000Z	keine lokale Zuordnung gefunden
Glen Campbell	Sunflower				keine	2	2026-07-15T08:43:59.000Z	keine lokale Zuordnung gefunden
Gordon Lightfoot	Carefree Highway				keine	2	2026-07-14T16:51:46.000Z	keine lokale Zuordnung gefunden
Gordon Lightfoot	If You Could Read My Mind				keine	2	2026-07-15T02:39:54.000Z	keine lokale Zuordnung gefunden
Greyhounds	Alte Freunde				keine	1	2026-07-14T03:01:46.000Z	keine lokale Zuordnung gefunden
Greyhounds	Hallo Taxi				keine	1	2026-07-15T09:31:19.000Z	keine lokale Zuordnung gefunden
Greylan James	Water At A Wedding				keine	6	2026-07-15T12:24:21.000Z	keine lokale Zuordnung gefunden
Gunter Gabriel	Dieselknecht				keine	1	2026-07-14T03:58:01.000Z	keine lokale Zuordnung gefunden
Gunter Gabriel	Ehrbares Mädchen (Good hearted woman)				keine	1	2026-07-13T18:46:53.000Z	keine lokale Zuordnung gefunden
Gunter Gabriel	Hey Boss, ich brauch mehr Geld				keine	1	2026-07-15T01:10:05.000Z	keine lokale Zuordnung gefunden
Gunter Gabriel	Ich schlaf nicht gern allein				keine	1	2026-07-14T12:40:41.000Z	keine lokale Zuordnung gefunden
Gunter Gabriel	Ich Werd' Gesucht In Bremerhaven				keine	2	2026-07-15T07:22:49.000Z	keine lokale Zuordnung gefunden
Gunter Gabriel	Intercity Linie Nr.4				keine	1	2026-07-14T09:30:28.000Z	keine lokale Zuordnung gefunden
Gunter Gabriel	Komm unter meine Decke		Bread & Butter | First Class	Bread & Butter | First Class	hoch	1	2026-07-14T18:37:05.000Z	exakter Interpret-und-Titel-Abgleich
Gunter Gabriel	König der Tramps (King of the Road)				keine	1	2026-07-15T14:22:33.000Z	keine lokale Zuordnung gefunden
Gunter Gabriel	Mädchen Ab 30				keine	2	2026-07-15T04:45:59.000Z	keine lokale Zuordnung gefunden
Gunter Gabriel	Oh nur mit dir (Oh lonesome me)				keine	1	2026-07-15T09:59:49.000Z	keine lokale Zuordnung gefunden
Gunter Gabriel	Papa Trinkt Bier				keine	2	2026-07-14T22:10:48.000Z	keine lokale Zuordnung gefunden
Gunter Gabriel	Worte, die ich leider nie gesagt				keine	2	2026-07-15T11:41:12.000Z	keine lokale Zuordnung gefunden
Hank Locklin	Please Help Me I'm Falling				keine	1	2026-07-15T08:02:57.000Z	keine lokale Zuordnung gefunden
Hank Williams Jr.	Outdoor Lovin' Man				keine	1	2026-07-15T06:21:44.000Z	keine lokale Zuordnung gefunden
Hannah Ellis	Wine country				keine	1	2026-07-14T04:32:31.000Z	keine lokale Zuordnung gefunden
Hardy & Lainey Wilson	Wait in the truck				keine	1	2026-07-14T05:35:57.000Z	keine lokale Zuordnung gefunden
Harper Grace	if daddy says no				keine	5	2026-07-15T14:41:31.000Z	keine lokale Zuordnung gefunden
High Valley	I’m Leavin’ You				keine	3	2026-07-15T13:46:14.000Z	keine lokale Zuordnung gefunden
