Interpret	Lied	Tanz aus Radio	Tänze aus lokaler Datenbank	Kandidaten	Sicherheit	Abspielungen	Zuletzt gespielt	Abgleich
Clay Walker	What's It To You				keine	1	2026-07-15T09:44:10.000Z	keine lokale Zuordnung gefunden
Clay Walker	Working On Me				keine	1	2026-07-14T13:46:35.000Z	keine lokale Zuordnung gefunden
Clifton Brown	Baby Put Your Clothes On				keine	1	2026-07-13T19:19:26.000Z	keine lokale Zuordnung gefunden
Clint Black	Breathing Air				keine	2	2026-07-14T14:16:12.000Z	keine lokale Zuordnung gefunden
Clint Black	Only One Way To Live				keine	1	2026-07-15T03:39:39.000Z	keine lokale Zuordnung gefunden
Clint Black	Summertime Song				keine	1	2026-07-15T08:17:26.000Z	keine lokale Zuordnung gefunden
Cody Dell Akridge	The Biggest Broken Heart In Te				keine	1	2026-07-14T08:31:23.000Z	keine lokale Zuordnung gefunden
Cody Dell Akridge	The Biggest Broken Heart In Texas				keine	1	2026-07-14T13:54:48.000Z	keine lokale Zuordnung gefunden
Cody Jinks	Somewhere Between I Love You a				keine	1	2026-07-14T19:58:27.000Z	keine lokale Zuordnung gefunden
Cody Jinks	Thunderheads				keine	1	2026-07-15T14:50:49.000Z	keine lokale Zuordnung gefunden
Cody Johnson	Half a Song				keine	1	2026-07-14T08:14:59.000Z	keine lokale Zuordnung gefunden
Cody Johnson	Where Cowboys Are King				keine	1	2026-07-15T05:46:39.000Z	keine lokale Zuordnung gefunden
Cody Johnson	Wild as You				keine	1	2026-07-15T10:06:42.000Z	keine lokale Zuordnung gefunden
Cole Swindell	Dad's Old Number				keine	1	2026-07-14T17:58:42.000Z	keine lokale Zuordnung gefunden
Cole Swindell	Reason to Drink				keine	1	2026-07-14T00:12:12.000Z	keine lokale Zuordnung gefunden
Cole Swindell	You Should Be Here				keine	1	2026-07-15T13:28:12.000Z	keine lokale Zuordnung gefunden
Collin Raye	Start Over Georgia				keine	1	2026-07-14T10:55:18.000Z	keine lokale Zuordnung gefunden
Collin Raye	The Walls Came Down				keine	1	2026-07-14T17:30:58.000Z	keine lokale Zuordnung gefunden
Colton James	Nothing But Time				keine	1	2026-07-14T09:57:55.000Z	keine lokale Zuordnung gefunden
Cory Morrow	Whiskey and Pride				keine	2	2026-07-15T00:01:55.000Z	keine lokale Zuordnung gefunden
Country Dick Montana	Headed Out For Texas				keine	1	2026-07-14T03:00:34.000Z	keine lokale Zuordnung gefunden
Country Station	Wo Country Freunde zuhause sind				keine	21	2026-07-15T15:47:54.000Z	keine lokale Zuordnung gefunden
Country Stones	Wrong Road Again				keine	1	2026-07-15T02:16:39.000Z	keine lokale Zuordnung gefunden
Craig Mecham	Driving Through Montana				keine	1	2026-07-14T18:46:46.000Z	keine lokale Zuordnung gefunden
Craig Morgan	Tough				keine	1	2026-07-14T04:08:50.000Z	keine lokale Zuordnung gefunden
Craig Morgan	We'll Come Back Around				keine	1	2026-07-14T20:02:03.000Z	keine lokale Zuordnung gefunden
Creed Fisher	This Is Gonna Hurt				keine	1	2026-07-15T00:16:47.000Z	keine lokale Zuordnung gefunden
Creed Fisher	You Shoulda Been A Redneck				keine	1	2026-07-15T12:34:07.000Z	keine lokale Zuordnung gefunden
Creed Fisher & The Redneck Nation Band	Down Here In Texas				keine	1	2026-07-14T00:36:49.000Z	keine lokale Zuordnung gefunden
Crimson River	You Can't Run From God				keine	1	2026-07-15T08:26:23.000Z	keine lokale Zuordnung gefunden
Crystal Sands	Melted Down Memories				keine	1	2026-07-15T02:19:37.000Z	keine lokale Zuordnung gefunden
Crystal Sands	Train Leaving Dallas				keine	1	2026-07-15T09:20:59.000Z	keine lokale Zuordnung gefunden
Dailey & Vincent	Beautiful Scars				keine	1	2026-07-14T12:54:25.000Z	keine lokale Zuordnung gefunden
Dallas Burrow	Guitar Man				keine	1	2026-07-14T00:40:53.000Z	keine lokale Zuordnung gefunden
Dallas Smith	Stone Cold Killer				keine	1	2026-07-15T13:37:54.000Z	keine lokale Zuordnung gefunden
Dallas Wayne	A Dime At A Time				keine	2	2026-07-15T10:00:06.000Z	keine lokale Zuordnung gefunden
Dallas Wayne	Raelene Wheeler				keine	1	2026-07-13T20:12:04.000Z	keine lokale Zuordnung gefunden
Dallas Wayne	Under The Overpass				keine	1	2026-07-14T15:54:15.000Z	keine lokale Zuordnung gefunden
Dallas Wayne & Willie Nelson	Your Time's Coming				keine	1	2026-07-14T19:00:07.000Z	keine lokale Zuordnung gefunden
Dan Gilliam	Live The Life				keine	1	2026-07-14T04:23:47.000Z	keine lokale Zuordnung gefunden
Dan McCorison	Diamond Joe				keine	2	2026-07-15T15:38:32.000Z	keine lokale Zuordnung gefunden
Dan Seals	Big Wheels In The Moonlight				keine	2	2026-07-14T21:29:41.000Z	keine lokale Zuordnung gefunden
Danielle Bradbery & Thomas Rhe	Goodbye Summer				keine	2	2026-07-14T15:51:05.000Z	keine lokale Zuordnung gefunden
Danielle Peck	Isn't That Everything				keine	1	2026-07-14T11:46:37.000Z	keine lokale Zuordnung gefunden
Darius Rucker	For The First Time				keine	1	2026-07-15T12:52:42.000Z	keine lokale Zuordnung gefunden
Darius Rucker	If I Told You				keine	1	2026-07-13T18:21:08.000Z	keine lokale Zuordnung gefunden
Darren Johnson	Country Song				keine	1	2026-07-14T04:35:02.000Z	keine lokale Zuordnung gefunden
Darryl Worley	Messed Up in Memphis				keine	1	2026-07-14T20:29:56.000Z	keine lokale Zuordnung gefunden
Daryle Singletary	Get Out Of My Country				keine	1	2026-07-13T22:22:09.000Z	keine lokale Zuordnung gefunden
Dave Dudley	Where's The Truck				keine	1	2026-07-15T12:26:35.000Z	keine lokale Zuordnung gefunden
Dave Sayre	I'm Just a Man				keine	1	2026-07-14T02:50:09.000Z	keine lokale Zuordnung gefunden
Dave Sayre	Springsteen				keine	1	2026-07-14T18:35:25.000Z	keine lokale Zuordnung gefunden
David Allan Coe	Jack Daniels If You Please				keine	1	2026-07-14T08:04:12.000Z	keine lokale Zuordnung gefunden
David Ball	Thinkin' Problem				keine	2	2026-07-15T04:00:15.000Z	keine lokale Zuordnung gefunden
David Chamberlain	I Feel A Little Haggard Tonigh				keine	1	2026-07-14T22:44:13.000Z	keine lokale Zuordnung gefunden
