Interpret	Lied	Tanz aus Radio	Tänze aus lokaler Datenbank	Kandidaten	Sicherheit	Abspielungen	Zuletzt gespielt	Abgleich
Dixie Chicks	Let 'Er Rip				keine	2	2026-07-15T14:07:42.000Z	keine lokale Zuordnung gefunden
Dolly Parton	Coat of Many Colors				keine	1	2026-07-14T05:16:02.000Z	keine lokale Zuordnung gefunden
Dolly Parton	It wasn't God who made honkytonk angels				keine	2	2026-07-15T12:11:38.000Z	keine lokale Zuordnung gefunden
Dolly Parton	Jolene				keine	1	2026-07-14T10:38:16.000Z	keine lokale Zuordnung gefunden
Don Williams	I Believe In You				keine	4	2026-07-15T07:01:37.000Z	keine lokale Zuordnung gefunden
Don Williams	One Good Well				keine	3	2026-07-15T11:52:36.000Z	keine lokale Zuordnung gefunden
Don Williams	Some Broken Hearts Never Mend				keine	1	2026-07-15T02:27:55.000Z	keine lokale Zuordnung gefunden
Don Williams	Tears				keine	4	2026-07-15T11:10:43.000Z	keine lokale Zuordnung gefunden
Dustin Lynch	Hell Of A Night				keine	1	2026-07-14T13:32:20.000Z	keine lokale Zuordnung gefunden
Dustin Lynch	Mind Reader				keine	1	2026-07-15T01:23:07.000Z	keine lokale Zuordnung gefunden
Dustin Lynch	Where It's At				keine	1	2026-07-13T23:31:06.000Z	keine lokale Zuordnung gefunden
Dwight Yoakam	Guitars, Cadillacs				keine	2	2026-07-14T15:55:39.000Z	keine lokale Zuordnung gefunden
Dwight Yoakam	I Got You				keine	2	2026-07-15T03:49:14.000Z	keine lokale Zuordnung gefunden
Dylan Scott	Hooked				keine	1	2026-07-13T22:54:57.000Z	keine lokale Zuordnung gefunden
Easton Corbin	All Over The Road				keine	2	2026-07-14T13:04:26.000Z	keine lokale Zuordnung gefunden
Easton Corbin	I Can't Love You Back				keine	1	2026-07-15T09:35:28.000Z	keine lokale Zuordnung gefunden
Edens Edge	Amen				keine	1	2026-07-13T19:11:00.000Z	keine lokale Zuordnung gefunden
Eli Young Band	Crazy Girl				keine	2	2026-07-15T06:58:26.000Z	keine lokale Zuordnung gefunden
Emmylou Harris	Mister Sandman				keine	4	2026-07-15T08:03:23.000Z	keine lokale Zuordnung gefunden
Emmylou Harris	Queen Of The Silver Dollar				keine	2	2026-07-15T11:35:49.000Z	keine lokale Zuordnung gefunden
Emmylou Harris	The Boxer				keine	2	2026-07-15T07:09:15.000Z	keine lokale Zuordnung gefunden
Emmylou Harris	Two More Bottles Of Wine				keine	1	2026-07-14T14:34:50.000Z	keine lokale Zuordnung gefunden
Emmylou Harris & John Prine	Magnolia Wind				keine	3	2026-07-14T23:50:26.000Z	keine lokale Zuordnung gefunden
Eric Church	Cold One				keine	1	2026-07-13T18:13:45.000Z	keine lokale Zuordnung gefunden
Eric Church	Creepin`				keine	1	2026-07-15T05:14:55.000Z	keine lokale Zuordnung gefunden
Eric Church	Drink in My Hand		Bring down the house | Chill factor	Bring down the house | Chill factor	hoch	1	2026-07-14T20:41:58.000Z	exakter Interpret-und-Titel-Abgleich
Eric Church	Mr. Misunderstood				keine	2	2026-07-14T12:45:17.000Z	keine lokale Zuordnung gefunden
Eric Church	The Outsiders				keine	1	2026-07-14T07:02:47.000Z	keine lokale Zuordnung gefunden
Eric Paslay	Song About A Girl				keine	1	2026-07-13T22:15:05.000Z	keine lokale Zuordnung gefunden
Faith Hill	Breathe				keine	1	2026-07-14T03:46:19.000Z	keine lokale Zuordnung gefunden
Faith Hill	Come Home				keine	1	2026-07-15T01:55:52.000Z	keine lokale Zuordnung gefunden
Faron Young	If You Ain't Lovin'				keine	3	2026-07-15T12:24:51.000Z	keine lokale Zuordnung gefunden
Florida Georgia Line	Anything Goes				keine	1	2026-07-14T16:49:50.000Z	keine lokale Zuordnung gefunden
Florida Georgia Line	Bumpin The Night				keine	2	2026-07-15T13:14:16.000Z	keine lokale Zuordnung gefunden
Florida Georgia Line	Dirt				keine	1	2026-07-15T09:31:34.000Z	keine lokale Zuordnung gefunden
Florida Georgia Line	Get Your Shine On				keine	1	2026-07-15T00:49:56.000Z	keine lokale Zuordnung gefunden
Florida Georgia Line	H.O.L.Y.				keine	1	2026-07-14T11:02:54.000Z	keine lokale Zuordnung gefunden
Florida Georgia Line	Sippin on Fire				keine	1	2026-07-14T12:57:53.000Z	keine lokale Zuordnung gefunden
Florida Georgia Line	Sun Daze				keine	1	2026-07-15T15:10:26.000Z	keine lokale Zuordnung gefunden
Florida Georgia Line feat. Backstreet Boys	God, Your Mama, And Me				keine	1	2026-07-14T08:16:54.000Z	keine lokale Zuordnung gefunden
Florida Georgia Line feat. Tim McGraw	May We All				keine	2	2026-07-15T09:53:56.000Z	keine lokale Zuordnung gefunden
Florida Georgie Line	Stay				keine	1	2026-07-14T21:15:37.000Z	keine lokale Zuordnung gefunden
Frankie Ballard	Helluva Life				keine	1	2026-07-15T06:41:37.000Z	keine lokale Zuordnung gefunden
Frankie Ballard	Young & Crazy				keine	4	2026-07-15T13:33:21.000Z	keine lokale Zuordnung gefunden
Garth Brooks	Burning Bridges				keine	1	2026-07-14T08:53:06.000Z	keine lokale Zuordnung gefunden
Garth Brooks	Callin' Baton Rouge				keine	2	2026-07-14T13:01:48.000Z	keine lokale Zuordnung gefunden
Garth Brooks	Not Counting You				keine	4	2026-07-15T16:14:19.000Z	keine lokale Zuordnung gefunden
Garth Brooks	The Dance				keine	2	2026-07-14T15:36:35.000Z	keine lokale Zuordnung gefunden
Garth Brooks	The Thunder Rolls				keine	1	2026-07-15T01:48:00.000Z	keine lokale Zuordnung gefunden
Garth Brooks	This ain't Tennessee				keine	1	2026-07-15T02:14:03.000Z	keine lokale Zuordnung gefunden
George Strait	All My Ex`s Live in Texas				keine	1	2026-07-15T11:04:51.000Z	keine lokale Zuordnung gefunden
George Strait	Blue Clear Sky				keine	1	2026-07-15T11:32:55.000Z	keine lokale Zuordnung gefunden
George Strait	Give it all we got tonight				keine	1	2026-07-14T12:32:03.000Z	keine lokale Zuordnung gefunden
Glen Campbell	Galveston (Digitally Remastered 01)				keine	1	2026-07-15T12:27:10.000Z	keine lokale Zuordnung gefunden
Glen Campbell	Southern nights				keine	2	2026-07-15T11:48:49.000Z	keine lokale Zuordnung gefunden
Gloriana	(Kissed You) Good Night				keine	2	2026-07-14T20:53:30.000Z	keine lokale Zuordnung gefunden
Granger Smith	Backroad Song				keine	2	2026-07-15T13:36:22.000Z	keine lokale Zuordnung gefunden
Granger Smith	If The Boot Fits				keine	2	2026-07-14T12:39:05.000Z	keine lokale Zuordnung gefunden
Greg Bates	Did It For The Girl				keine	2	2026-07-15T15:47:30.000Z	keine lokale Zuordnung gefunden
Gretchen Wilson	Here For The Party				keine	1	2026-07-14T16:03:24.000Z	keine lokale Zuordnung gefunden
Hank Williams	Fool About You				keine	2	2026-07-15T11:23:58.000Z	keine lokale Zuordnung gefunden
Hank Williams	Hey Good Lookin'				keine	2	2026-07-15T02:55:54.000Z	keine lokale Zuordnung gefunden
Hank Williams	No No Joe				keine	2	2026-07-15T02:03:04.000Z	keine lokale Zuordnung gefunden
Hank Williams Jr.	All My Rowdy Friends Are Coming Over Tonight				keine	3	2026-07-15T03:00:54.000Z	keine lokale Zuordnung gefunden
Hank Williams Jr.	Born To Boogie				keine	1	2026-07-14T15:46:45.000Z	keine lokale Zuordnung gefunden
Hank Williams Jr.	Women I've Never Had				keine	1	2026-07-15T12:50:18.000Z	keine lokale Zuordnung gefunden
Hank Williams, Jr.	A Country Boy Can Survive				keine	2	2026-07-14T14:46:05.000Z	keine lokale Zuordnung gefunden
Heartland	I loved her first				keine	1	2026-07-15T14:19:40.000Z	keine lokale Zuordnung gefunden
Hunter Hayes	I Want Crazy				keine	3	2026-07-15T15:57:18.000Z	keine lokale Zuordnung gefunden
Hunter Hayes	Invisible				keine	1	2026-07-13T18:39:02.000Z	keine lokale Zuordnung gefunden
Hunter Hayes	Storm Warning				keine	1	2026-07-14T11:41:08.000Z	keine lokale Zuordnung gefunden
Hunter Hayes	Wanted				keine	1	2026-07-15T16:30:47.000Z	keine lokale Zuordnung gefunden
Jake Owen	American Country Love Song				keine	2	2026-07-14T04:11:40.000Z	keine lokale Zuordnung gefunden
Jake Owen	Beachin'				keine	1	2026-07-13T22:18:56.000Z	keine lokale Zuordnung gefunden
Jake Owen	Real Life				keine	2	2026-07-15T14:04:49.000Z	keine lokale Zuordnung gefunden
Jake Owen	The One That Got Away				keine	1	2026-07-15T10:52:06.000Z	keine lokale Zuordnung gefunden
Jake Owen	What We Aint Got				keine	1	2026-07-14T07:10:01.000Z	keine lokale Zuordnung gefunden
Jana Kramer	Why Ya Wanna				keine	1	2026-07-15T05:59:09.000Z	keine lokale Zuordnung gefunden
Jason Aldean	Any Ol' Barstool				keine	2	2026-07-14T13:21:24.000Z	keine lokale Zuordnung gefunden
Jason Aldean	Fly Over States				keine	2	2026-07-15T09:39:32.000Z	keine lokale Zuordnung gefunden
Jason Aldean	Lights Come On				keine	1	2026-07-14T20:20:10.000Z	keine lokale Zuordnung gefunden
Jason Aldean	She's Country				keine	2	2026-07-14T08:23:25.000Z	keine lokale Zuordnung gefunden
Jason Aldean	Take A Little Ride				keine	1	2026-07-14T11:27:23.000Z	keine lokale Zuordnung gefunden
Jason Aldean	Tonight Looks Good On You				keine	1	2026-07-15T13:26:11.000Z	keine lokale Zuordnung gefunden
Jason Aldean	Two Night Town				keine	1	2026-07-13T19:24:54.000Z	keine lokale Zuordnung gefunden
Jason Aldean	When She Says Baby				keine	1	2026-07-15T15:19:36.000Z	keine lokale Zuordnung gefunden
Jason Aldean feat. Miranda Lambert	Drowns The Whiskey				keine	1	2026-07-15T01:38:06.000Z	keine lokale Zuordnung gefunden
Jason Aldean, Eric Church, Luke Bryan	The Only Way I Know				keine	1	2026-07-14T08:45:36.000Z	keine lokale Zuordnung gefunden
Jeannie C. Riley	Harper Valley P.T.A.				keine	2	2026-07-15T12:41:31.000Z	keine lokale Zuordnung gefunden
Jerrod Niemann	One More Drinkin				keine	2	2026-07-14T04:14:58.000Z	keine lokale Zuordnung gefunden
